drug,logrank_p,cox_hr,cox_p,n_sens,n_res,fdr_q
630600,0.09667253570103387,0.6207181605345227,0.02954999386128671,41,41,0.24211680112511186
UMI-77,0.10137341214143016,0.4997083695680434,0.0704850048831342,41,41,0.25162329085104984
L-Oxonoreleagnine,0.10264719616037175,2.109343618011558,0.42659044172446126,41,41,0.25253027019985264
N30652-18-1,0.10436412680366983,1.6025947403080851,0.45315252002581663,41,41,0.25450199343351065
Pevonedistat,0.10614310181000354,0.684263860214389,0.002874463032975346,41,41,0.25551095424582204
Ibrutinib,0.10661608162775309,1.6789739205222656,0.07076089373585899,41,41,0.25551095424582204
IOX2,0.1121662018562108,2.106830494053627,0.4724569728815742,41,41,0.2656972573272147
Luminespib,0.11277797253457315,0.5478080723017348,0.009829071860996219,41,41,0.2656972573272147
Alpelisib,0.11491154759669663,0.6685461543666337,0.3234708202055157,41,41,0.26844882547799714
RO-3306,0.1161369828957628,0.6020540784947688,0.1259755984689635,41,41,0.2690506770418505
Lapatinib,0.12219542945118907,0.4404118215356039,0.037951341852679975,41,41,0.2807465238630625
SB505124,0.13010315254875568,1.3193790827060763,0.47762093464066946,41,41,0.2964645607258531
WZ4003,0.13243855960359385,0.41378496087026945,0.057232118800778796,41,41,0.29878538085414874
GSK2578215A,0.13334090975459173,0.387387668262058,0.15940692806563977,41,41,0.29878538085414874
MK-2206,0.134345944628664,0.6251215329443046,0.1774280512567724,41,41,0.29878538085414874
Eg5_9814,0.13906563563071642,0.8281353302850648,0.4025813190652783,41,41,0.3060040597169524
MIM1,0.14185040849605027,0.5254691450255666,0.22181269181658114,41,41,0.3060040597169524
AZ6102,0.14236470581345587,0.38528435980887166,0.030031567334947776,41,41,0.3060040597169524
PRT062607,0.14383377767253586,0.6102229539941464,0.2685167719509733,41,41,0.3060040597169524
BMS-754807,0.14402349141126533,0.660254654637587,0.0604708282312306,41,41,0.3060040597169524
GSK-LSD1-2HCl ,0.14419615763640561,1.3207287247243797,0.6474116152059805,41,41,0.3060040597169524
Mycophenolic acid,0.14919300092720467,0.5147435991656419,0.010177860077195353,41,41,0.3142095019527492
YK-4-279,0.15277366288890162,0.7304292899926256,0.22839333289674063,41,41,0.3189202135010578
Pyridostatin,0.15372413168756024,0.4084152210429716,0.04599176206547471,41,41,0.3189202135010578
Veliparib,0.15499203733340483,0.9767806753884111,0.9722666395371529,41,41,0.3191687879902707
CDK9_5038,0.1582644702189718,1.1758508190626273,0.61881265100812,41,41,0.32351119647701587
AZD6738,0.16396631774764597,0.586662065613068,0.021943891251855044,41,41,0.32956883034924045
KU-55933,0.16427529667828197,0.5602729167490087,0.25661400935355827,41,41,0.32956883034924045
JAK1_8709,0.16478441517462022,2.415334233384544,0.04377310735547231,41,41,0.32956883034924045
BDILV000379a,0.17059023464565043,0.7714347944416982,0.7417510081115704,41,41,0.33874346593922017
5-Fluorouracil,0.18128264775793473,0.648942357063341,0.07098541812299512,41,41,0.3574225253667082
Schweinfurthin A,0.1845024932384093,0.7729568034850203,0.06917644147621946,41,41,0.3612091064808295
BMS-536924,0.18898630619129717,0.46552664628334484,0.1675798469212662,41,41,0.3652288560334688
SL0101,0.1912450428032915,5.173387972529953,0.06113968403074541,41,41,0.3652288560334688
Docetaxel,0.1920926042087622,0.7089067504913106,0.07080288750647164,41,41,0.3652288560334688
GSK1904529A,0.19264197732964886,1.6670384151184703,0.40956016155893515,41,41,0.3652288560334688
Topotecan,0.19323090308445795,1.2904387574200942,0.2888940000748781,41,41,0.3652288560334688
PBD-288,0.1944383837876021,0.687615515965732,0.18442922874346013,41,41,0.3652288560334688
Motesanib,0.2013452932247291,0.668656587168999,0.42902920460364624,41,41,0.3756643725937899
Dabrafenib,0.2070302806342211,1.0827679273974433,0.8169562766708737,41,41,0.38182602465251714
MK-1775,0.2073947112321226,0.7078229230737423,0.2445078099231571,41,41,0.38182602465251714
Elephantin,0.2103964994402475,0.4996379891553355,0.12290208017637963,41,41,0.3848041239762421
Cisplatin,0.21765320712014544,0.8217192530405024,0.36745223675725425,41,41,0.39293448978583373
123829,0.21766874614035395,0.6696445725746631,0.2561852244490095,41,41,0.39293448978583373
PFI3,0.22884187860421673,0.9987724627385782,0.998782442366647,41,41,0.40814528822843016
Axitinib,0.2290311689339392,0.5730111293961367,0.1370984337914966,41,41,0.40814528822843016
Sabutoclax,0.23305488946729916,0.8463097697440229,0.7495285107450866,41,41,0.41267044122235136
150412,0.2390579603562754,0.8055944915465457,0.7227800816643726,41,41,0.420620968221801
WEHI-539,0.2673653196273298,0.6289136012057145,0.16064043151912122,41,41,0.46557937203512134
Navitoclax,0.2679593508115806,1.5883578992501273,0.20297835022218372,41,41,0.46557937203512134
ERK_6604,0.2754688893490591,1.0229099577508214,0.9531607968253725,41,41,0.4756543555219779
Buparlisib,0.2899717188098264,0.3318199802591505,0.04256699584214392,41,41,0.49760578906871444
PCI-34051,0.29187319500977094,0.8061584937374077,0.6826311335491224,41,41,0.49779600130500806
alpha-lipoic acid,0.30553403016427505,0.7618852555970118,0.536637124272945,41,41,0.5179174413760272
AZD5438,0.3080172461802938,1.1144145915285892,0.6994252476253531,41,41,0.5182730674279163
VX-11e,0.3112304659450601,0.7047845540912885,0.3772879640563487,41,41,0.5182730674279163
Sinularin,0.3124321853837476,0.36802224962944186,0.20035477653326056,41,41,0.5182730674279163
BPD-00008900,0.31320099038809335,0.4597222713957996,0.18651977388426638,41,41,0.5182730674279163
Entinostat,0.3199036976683641,0.5176996426671392,0.034452815812748394,41,41,0.5246299998066586
PD0325901,0.3226499837417819,1.5375262668241358,0.14994442710503839,41,41,0.5246299998066586
AZD8186,0.3227040646292756,1.5022585186093695,0.30934027289178934,41,41,0.5246299998066586
GDC0810,0.3251769686386808,0.8469085527684725,0.8280296144082582,41,41,0.5251576313804007
CT7033-2,0.32680672744176015,1.0953491273091096,0.8241234150860267,41,41,0.5251576313804007
Pictilisib,0.331279957039324,0.35594668976683036,0.02558705987323727,41,41,0.5292863681432878
GSK2110183B,0.33327749426866077,0.6526825557252507,0.0669887272802292,41,41,0.5294351051810725
Nelarabine,0.3411439603090036,1.6388720455920531,0.48112802665782084,41,41,0.5364083484526124
Linsitinib,0.3442167910330153,0.7614497626107254,0.4412854092564954,41,41,0.5364083484526124
glutathione,0.3445604641725384,1.169403142562482,0.8527510417125891,41,41,0.5364083484526124
ICL-SIRT078,0.34538523155761736,0.6532316320700198,0.234802534924123,41,41,0.5364083484526124
Staurosporine,0.34916776616882217,0.5811083168284291,0.028860038331426106,41,41,0.5392702166385143
Rucaparib,0.35173209225612556,0.8505824993576339,0.8027293145544855,41,41,0.5402294013657619
729189,0.3540325179735311,1.023899105325063,0.9808154569772909,41,41,0.5407749450364925
EPZ5676,0.3610769420603991,1.5973064633130294,0.42842836698046816,41,41,0.5474375352397584
AT13148,0.3623327571371062,0.7786978938224491,0.377563067899643,41,41,0.5474375352397584
JNK Inhibitor VIII,0.3732826652748552,1.0858379710111405,0.9109259516172103,41,41,0.5609328699805932
Dinaciclib,0.3807727830856884,0.9945501736379059,0.9876208694955134,41,41,0.5691120091280719
Temsirolimus,0.3845338798188416,0.7862116327758925,0.4804738605826546,41,41,0.571659992457957
GSK-LSD1,0.3896459258002315,0.9180647757368416,0.9172658036078031,41,41,0.5761785498535338
LMB_AB2,0.3977922189261003,0.6264510310626239,0.4472678375443069,41,41,0.5851123643463274
AZD8055,0.40587481963802174,0.6017178491616638,0.10855431656290848,41,41,0.5938589466282634
VTP-B,0.40846376125595385,1.7540207431523736,0.5886438141530851,41,41,0.5945179352311789
Afatinib,0.41065810854876106,0.8571406476310887,0.7778087792202469,41,41,0.5945987196695602
BMS-345541,0.413169898081742,1.0281433101321749,0.9555287334581207,41,41,0.5951359153716284
Gallibiscoquinazole,0.41954924930104853,2.928244573926386,0.2432604326646891,41,41,0.5963650001484514
LMB_AB3,0.419655029158297,0.8382956380976342,0.7255360284264686,41,41,0.5963650001484514
Avagacestat,0.42045877708308077,1.7423903234926383,0.4263908845087947,41,41,0.5963650001484514
PD173074,0.42268265649548453,0.5682804875815728,0.1716545296978313,41,41,0.5964760330240847
Obatoclax Mesylate,0.42625150808799084,0.367321511121988,0.057020395355809106,41,41,0.5984743396386942
THR-102,0.4359126020387295,1.1415915329405981,0.8095481404772572,41,41,0.6089633335013407
AZD1208,0.4394899442363447,1.7788272646469316,0.4129654816737933,41,41,0.6092931669035605
Venetoclax,0.44053210988350955,0.7229334314949812,0.2277502749941155,41,41,0.6092931669035605
Lenalidomide,0.4473113030526894,1.8769237058950612,0.35505918428413796,41,41,0.6156066447952854
