cancer,drug,logrank_p,cox_hr,n_sens,n_res,fdr_q
TCGA-CHOL,Nilotinib,0.8045642730612035,1.1866146743336945,17,16,0.9744437288454759
TCGA-CHOL,Niraparib,0.569966711443179,1.2162900107349617,17,16,0.9744437288454759
TCGA-CHOL,Nutlin-3a (-),0.5320943700508549,1.167819578252275,17,16,0.9744437288454759
TCGA-CHOL,OF-1,0.9129128130042256,0.5650763057310931,17,16,0.9744437288454759
TCGA-CHOL,OTX015,0.7239251603543512,1.4393452696901172,17,16,0.9744437288454759
TCGA-CHOL,Obatoclax Mesylate,0.7758598332111373,0.9754838039806762,17,16,0.9744437288454759
TCGA-CHOL,Olaparib,0.8433012169921219,1.107675820782996,17,16,0.9744437288454759
TCGA-CHOL,Osimertinib,0.5164097289369698,0.9738554165158273,17,16,0.9744437288454759
TCGA-CHOL,Oxaliplatin,0.36034049908514754,1.2697806889823862,17,16,0.9744437288454759
TCGA-CHOL,P22077,0.934724787914855,1.4421311588038337,17,16,0.9744437288454759
TCGA-CHOL,PAK_5339,0.5944574728377012,2.0179806131947484,17,16,0.9744437288454759
TCGA-CHOL,PBD-288,0.9605297303270862,0.9966555031473306,17,16,0.9817178861431248
TCGA-CHOL,PCI-34051,0.28997882314389484,1.2855532605536513,17,16,0.9744437288454759
TCGA-CHOL,PD0325901,0.9417023033031146,0.6846694414203901,17,16,0.9744437288454759
TCGA-CHOL,PD173074,0.6174443238035052,1.4203638516800152,17,16,0.9744437288454759
TCGA-CHOL,PF-4708671,0.19975365746183132,2.683137495782514,17,16,0.9744437288454759
TCGA-CHOL,PFI-1,0.6883308584638043,1.727074782198796,17,16,0.9744437288454759
TCGA-CHOL,PFI3,0.7823447794304634,1.274207426240195,17,16,0.9744437288454759
TCGA-CHOL,PLX-4720,0.24792416751717156,1.028985885375673,17,16,0.9744437288454759
TCGA-CHOL,POMHEX,0.8937448410542229,2.1024109309663954,17,16,0.9744437288454759
TCGA-CHOL,PRIMA-1MET,0.38911327249081595,2.4894301693333736,17,16,0.9744437288454759
TCGA-CHOL,PRT062607,0.8634884792604519,1.7392305528046972,17,16,0.9744437288454759
TCGA-CHOL,Paclitaxel,0.8185441488873282,1.1049101042891714,17,16,0.9744437288454759
TCGA-CHOL,Palbociclib,0.630253370383701,1.2174298558928935,17,16,0.9744437288454759
TCGA-CHOL,Pevonedistat,0.7284035246967815,0.910046038644894,17,16,0.9744437288454759
TCGA-CHOL,Picolinici-acid,0.8747207719967893,1.1210047549773678,17,16,0.9744437288454759
TCGA-CHOL,Pictilisib,0.5611873534610978,2.3091020691421504,17,16,0.9744437288454759
TCGA-CHOL,Piperlongumine,0.6055014081628454,1.3354675710055488,17,16,0.9744437288454759
TCGA-CHOL,Podophyllotoxin bromide,0.5429849937634293,0.883391770557149,17,16,0.9744437288454759
TCGA-CHOL,Pyridostatin,0.6353116540137903,0.9720193522892511,17,16,0.9744437288454759
TCGA-CHOL,RO-3306,0.555872999491534,1.0372007317514431,17,16,0.9744437288454759
TCGA-CHOL,RVX-208,0.6819813389048919,1.755209396584674,17,16,0.9744437288454759
TCGA-CHOL,Rapamycin,0.885723519152708,1.1071198914172249,17,16,0.9744437288454759
TCGA-CHOL,Refametinib,0.3819794086103805,0.6111309304530868,17,16,0.9744437288454759
TCGA-CHOL,Remodelin,0.547394306629958,0.6064168046808157,17,16,0.9744437288454759
