drug,n_samples,cv_r2_mean,cv_r2_std,best_alpha,predictable
GSK343,697,0.3303164043737413,0.10629029868705231,5455.594781168515,True
Dactinomycin,693,0.329561483963545,0.11537840722959798,5455.594781168515,True
Vismodegib,684,0.3291672582050088,0.09300952379150319,11288.378916846883,True
CZC24832,647,0.3283098344385832,0.10171749382763702,11288.378916846883,True
VE821,684,0.32780447040827376,0.1595609047478053,11288.378916846883,True
ICL-SIRT078,563,0.3267366696948639,0.07218440639268697,5455.594781168515,True
Cyclophosphamide,692,0.32585232049759716,0.10616576505197048,5455.594781168515,True
Telomerase Inhibitor IX,692,0.32411866593006594,0.09036673562534113,5455.594781168515,True
Docetaxel,699,0.3234828526744835,0.054839114797224885,2636.6508987303555,True
Dabrafenib,689,0.3230311649137269,0.10403672530836182,11288.378916846883,True
VE-822,647,0.32140285459774354,0.11444583180886056,11288.378916846883,True
Uprosertib,697,0.31943039955556785,0.05332054706790994,2636.6508987303555,True
I-BET-762,647,0.3145070077801038,0.1163262846768758,11288.378916846883,True
UNC0379,563,0.31448729468107306,0.117605220097825,5455.594781168515,True
MK-2206,699,0.31412624915488807,0.07319933236882298,2636.6508987303555,True
Dinaciclib,646,0.31388345274921187,0.06627234289085135,5455.594781168515,True
RVX-208,647,0.3132798969955984,0.12909761779722823,11288.378916846883,True
SN-38,690,0.3131467712100372,0.06391802079167799,5455.594781168515,True
Topotecan,542,0.3122576351148111,0.08943700469793812,2636.6508987303555,True
LMB_AB3,542,0.31106304900897763,0.04836199657302498,5455.594781168515,True
PRIMA-1MET,650,0.31019580648987405,0.08001001233181254,11288.378916846883,True
Mycophenolic acid,560,0.30912937169275134,0.06955937587831389,2636.6508987303555,True
THR-103,556,0.308941751338492,0.07155554524213596,11288.378916846883,True
AZD6738,692,0.3088928107617378,0.10781610772469793,2636.6508987303555,True
GSK2801,542,0.30747052265292163,0.07317487020544583,11288.378916846883,True
Wnt-C59,647,0.30713998577099405,0.08382195876939516,11288.378916846883,True
alpha-lipoic acid,563,0.3027026056584526,0.05739311468756514,5455.594781168515,True
A-366,563,0.29913970627941977,0.08644648419692223,5455.594781168515,True
PFI-1,686,0.29857621328164075,0.08793948435698244,11288.378916846883,True
CDK9_5038,545,0.2974584326315598,0.06641385182912898,5455.594781168515,True
AZD5153,545,0.29677932577529387,0.1128062259679581,11288.378916846883,True
ULK1_4989,544,0.29619043502525977,0.06698159696178707,2636.6508987303555,True
THR-102,556,0.2932972558140802,0.04556047421215606,5455.594781168515,True
ERK_6604,545,0.29303005658306425,0.03630323673775247,5455.594781168515,True
Pyridostatin,687,0.2928437872330658,0.08390291528247887,11288.378916846883,True
SGC-CBP30,542,0.2895850685664185,0.046249617595628754,11288.378916846883,True
Sepantronium bromide,692,0.28885329722902425,0.05317592564011954,1274.2749857031322,True
Dacarbazine,542,0.2881207024360777,0.06531301015726815,11288.378916846883,True
VX-11e,688,0.28727170322729434,0.05962866627844491,5455.594781168515,True
CCT007093,678,0.2868374139383026,0.0759450069926351,11288.378916846883,True
Afuresertib,692,0.28650028083643725,0.051857312670827944,2636.6508987303555,True
IOX2,135,0.2863650859047767,0.2156967810063551,11288.378916846883,True
P22077,692,0.2850818583374207,0.09265552735692381,5455.594781168515,True
LJI308,687,0.2849336460727473,0.09118485784305429,11288.378916846883,True
Ulixertinib,695,0.28476774261797344,0.10341330854477122,5455.594781168515,True
Luminespib,697,0.283588331704318,0.0510793077350171,5455.594781168515,True
Fludarabine,542,0.2832960465465841,0.16482845854449682,11288.378916846883,True
Ibrutinib,644,0.2803662399929452,0.05495588188750942,2636.6508987303555,True
BDILV000379a,542,0.27314213003297844,0.06589134569386888,11288.378916846883,True
NU7441,682,0.2725715869452796,0.08583546215482198,5455.594781168515,True
VTP-B,560,0.27235722799433715,0.0728926194539681,11288.378916846883,True
PRT062607,647,0.2721805879525763,0.0847480846657268,11288.378916846883,True
MIM1,566,0.27040312172556136,0.1077228365189934,11288.378916846883,True
Osimertinib,691,0.26796788331406635,0.04394381809402092,2636.6508987303555,True
GDC0810,692,0.2676896100801904,0.06052321064363703,11288.378916846883,True
SL0101,135,0.26649692395491176,0.12090455439615214,5455.594781168515,True
CDK9_5576,545,0.26611464057785467,0.08023242761968079,5455.594781168515,True
TAF1_5496,544,0.2661003315175941,0.039474524112597054,5455.594781168515,True
GSK2578215A,692,0.26383478825179313,0.08645519177134948,11288.378916846883,True
OTX015,647,0.26328957418346655,0.10032814253393238,11288.378916846883,True
BMS-754807,684,0.25991018823315476,0.0702784415680818,5455.594781168515,True
Avagacestat,689,0.2593066472351134,0.1417776530716368,11288.378916846883,True
720427,542,0.259022821705465,0.04959885737137979,11288.378916846883,True
NVP-ADW742,692,0.25891715050428143,0.06217167227231208,5455.594781168515,True
Ipatasertib,692,0.25717481833010414,0.03999252130885639,2636.6508987303555,True
Tretinoin,135,0.2541064889300009,0.1758146901513491,2636.6508987303555,True
EHT-1864,680,0.2536273724911958,0.07462275703804924,5455.594781168515,True
150412,542,0.2536169812568131,0.07652787907184408,5455.594781168515,True
667880,542,0.25164786275272766,0.08546193003907526,11288.378916846883,True
Foretinib,688,0.25142442449595287,0.118673538471872,5455.594781168515,True
JNK Inhibitor VIII,687,0.25132420086167195,0.03775367246238905,11288.378916846883,True
BIBR-1532,688,0.24740297340769962,0.04821756591323489,5455.594781168515,True
JAK_8517,545,0.24541654920510103,0.07682626752048845,11288.378916846883,True
Bleomycin (50 uM),556,0.2444788732675954,0.03854053414073739,2636.6508987303555,True
GSK1904529A,697,0.24078823498239096,0.10700357174423412,5455.594781168515,True
Buparlisib,692,0.23916357745366373,0.060154852171429095,5455.594781168515,True
SB216763,693,0.23897737684849085,0.09927333677431667,11288.378916846883,True
PAK_5339,544,0.23873269719501558,0.07760364889018805,11288.378916846883,True
AGI-5198,692,0.2375211676856574,0.10222973373457911,11288.378916846883,True
Staurosporine,699,0.23567307330342607,0.098632987751428,5455.594781168515,True
MG-132,700,0.23519297805848524,0.08670946471099195,5455.594781168515,True
GSK-LSD1,542,0.23467874389483395,0.06206408263229411,11288.378916846883,True
WEHI-539,693,0.234445028980126,0.0913643369607841,5455.594781168515,True
Gallibiscoquinazole,542,0.23332465873935634,0.04174127471259451,11288.378916846883,True
GSK591,687,0.23288971160035352,0.10022607878372518,11288.378916846883,True
Lapatinib,697,0.23288908656158558,0.06186711701130972,5455.594781168515,True
123138,542,0.23269770321862068,0.04841042087002787,11288.378916846883,True
Gefitinib,692,0.23202121744590487,0.0365280945043499,5455.594781168515,True
729189,542,0.23076145587824773,0.03122384457903346,11288.378916846883,True
BPD-00008900,566,0.22880668990294453,0.08547099900481296,11288.378916846883,True
BX795,135,0.224653778188389,0.06690581938042445,1274.2749857031322,True
Piperlongumine,135,0.22327694931638026,0.1693713467409565,2636.6508987303555,True
Tanespimycin,684,0.22322993997972462,0.03316961011819328,2636.6508987303555,True
AZD5582,641,0.2231766058963826,0.04860451732872816,5455.594781168515,True
AT13148,687,0.22183160137330474,0.03642396119159906,5455.594781168515,True
Obatoclax Mesylate,589,0.2199286770499816,0.06630298612482229,5455.594781168515,True
Daporinad,400,0.21866537209542908,0.09448696708696723,5455.594781168515,True
Bicalutamide,135,0.21863118318114685,0.12254718418983089,23357.21469090121,True
Remodelin,296,0.21715244275780776,0.07117897957122798,11288.378916846883,True
GW441756,690,0.21514057860265826,0.13858959088095593,11288.378916846883,True
Elesclomol,135,0.21494120592408555,0.10124918504064534,5455.594781168515,True
PLX-4720,695,0.21475843631184682,0.08534416681546876,11288.378916846883,True
Temsirolimus,668,0.21445476535467572,0.08009137444008524,5455.594781168515,True
Tamoxifen,692,0.21373588429005289,0.09222686157932734,11288.378916846883,True
IGF1R_3801,544,0.2134212352870338,0.03598294756246385,5455.594781168515,True
VTP-A,560,0.21295250543383384,0.12418696594729206,23357.21469090121,True
GSK2606414,641,0.21246875708409693,0.07263895196037862,11288.378916846883,True
ascorbate (vitamin C),558,0.2124609445893114,0.07318541191165262,11288.378916846883,True
LY2109761,645,0.21214896189032237,0.07356994158356289,23357.21469090121,True
Afatinib,697,0.2115857319635494,0.03197738653821947,5455.594781168515,True
Bleomycin,542,0.2108133817105197,0.056077593918263606,5455.594781168515,True
AZD3759,697,0.2105491006296348,0.03603951518762639,5455.594781168515,True
SGC0946,686,0.209768087922446,0.07107993118112398,5455.594781168515,True
776928,541,0.20810591623979358,0.10645985480356703,11288.378916846883,True
L-Oxonoreleagnine,542,0.20792795103194517,0.0566156915823521,11288.378916846883,True
Doramapimod,692,0.2066973410560541,0.07995683158590809,23357.21469090121,True
AGK2,677,0.20523812003939143,0.1260004448262252,11288.378916846883,True
Rapamycin,685,0.20451976998692248,0.0907322550969857,11288.378916846883,True
IRAK4_4710,545,0.20398106944807318,0.030266134654276536,5455.594781168515,True
GSK269962A,173,0.20345733762082094,0.1137271201239961,5455.594781168515,True
Sinularin,542,0.2019388319305953,0.04577457945435358,11288.378916846883,True
615590,542,0.20045670902449678,0.04548906251268676,11288.378916846883,True
PF-4708671,173,0.20018125448156415,0.13908277796438573,11288.378916846883,True
UMI-77,566,0.19662774646370035,0.06288054477358332,5455.594781168515,True
Taselisib,697,0.19520065835376624,0.05462839013686586,2636.6508987303555,True
Dactolisib,692,0.19422975515940857,0.07293219812200724,5455.594781168515,True
ERK_2440,545,0.19382345513377255,0.1043116692484904,5455.594781168515,True
PD173074,698,0.19328570334433778,0.1007886458215328,5455.594781168515,True
Erlotinib,689,0.19267001196470218,0.06411792525834865,5455.594781168515,True
743380,542,0.1922487555276881,0.0387708052123674,5455.594781168515,True
Bortezomib,692,0.1918153480550322,0.07992587138694243,5455.594781168515,True
741909,542,0.18828157185035016,0.05411647130245589,5455.594781168515,True
Entospletinib,647,0.18490638209088306,0.07181539385958462,11288.378916846883,True
Savolitinib,692,0.1826857664722769,0.10339984849828042,5455.594781168515,True
