master_ccl_id,mean_bet_auc,meso,ccl_name,ccle_primary_site
532,0.6941133333333335,False,KIJK,haematopoietic_and_lymphoid_tissue
534,0.8023233333333333,False,KLE,endometrium
536,0.90992,False,KM12,large_intestine
537,0.8841566666666667,False,KMBC2,urinary_tract
538,0.7392433333333334,False,KMH2,haematopoietic_and_lymphoid_tissue
539,0.9778100000000001,False,KMM1,haematopoietic_and_lymphoid_tissue
540,0.8814099999999999,False,KMRC1,kidney
541,0.8999,False,KMRC2,kidney
542,0.8730600000000001,False,KMRC20,kidney
543,0.889675,False,KMRC3,kidney
545,0.6427299999999999,False,KMS11,haematopoietic_and_lymphoid_tissue
546,0.6073566666666667,False,KMS12BM,haematopoietic_and_lymphoid_tissue
548,0.7255733333333333,False,KMS18,haematopoietic_and_lymphoid_tissue
549,0.7167233333333334,False,KMS20,haematopoietic_and_lymphoid_tissue
550,0.5903766666666667,False,KMS21BM,haematopoietic_and_lymphoid_tissue
551,0.54013,False,KMS26,haematopoietic_and_lymphoid_tissue
552,0.69279,False,KMS27,haematopoietic_and_lymphoid_tissue
553,0.74851,False,KMS28BM,haematopoietic_and_lymphoid_tissue
555,0.612575,False,KMS34,haematopoietic_and_lymphoid_tissue
556,0.9635699999999999,False,KNS42,central_nervous_system
557,0.8679233333333333,False,KNS60,central_nervous_system
558,0.9096033333333334,False,KNS62,lung
559,0.8769466666666667,False,KNS81,central_nervous_system
561,0.73429,False,KO52,haematopoietic_and_lymphoid_tissue
566,0.9051866666666667,False,KP2,pancreas
567,0.75999,False,KP3,pancreas
568,0.8579033333333334,False,KP4,pancreas
569,0.93411,False,KPL1,breast
571,0.6884250000000001,False,KPNSI9S,autonomic_ganglia
572,1.00957,False,KPNYN,autonomic_ganglia
573,0.8577,False,KRIJ,
575,0.8466033333333334,False,KU1919,urinary_tract
576,0.70467,False,KU812,haematopoietic_and_lymphoid_tissue
577,0.8049333333333334,False,KURAMOCHI,ovary
578,0.7067833333333334,False,KYM1,soft_tissue
579,0.74816,False,KYO1,haematopoietic_and_lymphoid_tissue
580,0.8621533333333332,False,KYSE140,oesophagus
581,0.9513033333333333,False,KYSE150,oesophagus
582,0.9183499999999999,False,KYSE180,oesophagus
584,0.9114933333333334,False,KYSE30,oesophagus
585,0.8738633333333333,False,KYSE410,oesophagus
586,0.92942,False,KYSE450,oesophagus
587,0.9417033333333333,False,KYSE510,oesophagus
588,0.90745,False,KYSE520,oesophagus
589,0.8504833333333334,False,KYSE70,oesophagus
590,0.8560366666666667,False,L1236,haematopoietic_and_lymphoid_tissue
591,0.9259966666666667,False,L33,pancreas
592,0.7443366666666668,False,L363,haematopoietic_and_lymphoid_tissue
593,0.7251799999999999,False,L428,haematopoietic_and_lymphoid_tissue
594,0.7127166666666667,False,L540,haematopoietic_and_lymphoid_tissue
595,0.7447133333333333,False,LAMA84,haematopoietic_and_lymphoid_tissue
598,0.8658233333333333,False,LC1SQSF,lung
599,1.0233333333333334,False,LCLC103H,lung
600,0.76744,False,LCLC97TM1,lung
601,0.72775,False,LI7,liver
602,0.8749899999999999,False,LK2,lung
603,0.8779566666666666,False,LMSU,stomach
604,0.8448533333333333,False,LN18,central_nervous_system
606,0.8661566666666666,False,LN229,central_nervous_system
618,0.7268733333333334,False,LNCAPCLONEFGC,prostate
621,0.7963433333333333,False,LOUNH91,lung
622,0.7468833333333333,False,LOVO,large_intestine
623,0.6878699999999999,False,LOXIMVI,skin
624,0.6534666666666666,False,LP1,haematopoietic_and_lymphoid_tissue
626,0.8596233333333334,False,LS1034,large_intestine
627,0.8854733333333332,False,LS123,large_intestine
630,0.8138266666666666,False,LS180,large_intestine
631,0.7991100000000001,False,LS411N,large_intestine
632,0.8582566666666667,False,LS513,large_intestine
633,0.8548866666666667,False,LU65,lung
634,0.7810199999999999,False,LU99,lung
635,0.7781933333333333,False,LUDLU1,lung
636,0.7268,False,LXF289,lung
638,0.7786966666666667,False,M059K,central_nervous_system
639,0.63124,False,M07E,haematopoietic_and_lymphoid_tissue
641,0.715875,False,MALME3M,skin
643,0.8817633333333333,False,MC116,haematopoietic_and_lymphoid_tissue
644,0.8027133333333333,False,MCAS,ovary
646,0.78643,False,MCF7,breast
648,0.9421200000000001,False,MDAMB157,breast
650,0.8740866666666666,False,MDAMB231,breast
651,0.8044633333333334,False,MDAMB361,breast
652,0.90855,False,MDAMB415,breast
655,0.8708266666666667,False,MDAMB435S,skin
657,0.6808233333333332,False,MDAMB453,breast
658,0.89376,False,MDAMB468,breast
661,0.7666033333333333,False,MDST8,large_intestine
662,0.7927233333333333,False,ME1,haematopoietic_and_lymphoid_tissue
663,0.6704166666666667,False,MEC1,haematopoietic_and_lymphoid_tissue
666,0.7982566666666667,False,MELHO,skin
667,0.99015,False,MELJUSO,skin
668,0.9025266666666667,False,MESSA,soft_tissue
669,0.8115900000000001,False,MEWO,skin
671,0.8790300000000001,False,MFE296,endometrium
672,0.86935,False,MFE319,endometrium
673,0.8114066666666666,False,MG63,bone
